title,Manually Entered?,Image,Image Caption,Image Source,Rights Holder,Description,Author,Editor,Translator,Type,Original Language,Copyright Status,Copyright Date
Twelve Original Woodcuts,,4595.jpg,"dust jacket of ""Twelve Original Woodcuts""",E.J. Pratt Library,Penguin Random House Archive and Library,"A book of Fry's woodcuts, this small edition contains no text. The books were hand-sewn by Virginia Woolf.",Roger Fry,,,Art and Art Criticism,English,,1921
The Note-Books of Anton Tchekhov together with Reminiscences of Tchekhov,y,,,,,"A translation and collection of writings from Chekhov's notebooks appearing in this edition for the first time in English, this book also contains reminiscences of Chekhov written by Gorky. The reminiscences take a similar form to those in Gorky's book on Tolstoy. Chekhov's own notes are often aphoristic and funny and the note-books seem to have been part commonplace book, part collection of his own observations. The collection provides a combination of literary remains and reminiscences that was a fairly typical practice in nineteenth century publishing, though the Russian element adds a certain innovation to this book. Chekhov's attitude towards literary biography seems to have been less favourable than Gorky's: ""When I see books, I am not concerned with how the authors loved or played cards; I see only their marvelous works."" (5)",Maxim Gorky,,,Biography,Russian,,1921
Daybreak,y,,,,,"A collection of sad lyric poems following strict rhyme schemes and employing conventional modes of address (ie: the Ode; lots of ""O""). Religious themes are apparent throughout and engagement with some traditional religious verse forms (ie: Liturgy). ""It seems so long that I have been laid up on the shelf / Like a broken cup or a too, too, brittle plate;""",Fredegond Shove,,,Poetry,English,,1922
Jacob's Room,y,jacobsroom_002_front.jpg,"Vanessa Bell, dust jacket of ""Jacob's Room""",Bruce Peel Library,Henrietta Garnett,"Well known as Woolf's frst experimental novel to have been published by the Press, Jacob's Room was published with a dust jacket designed by Vanessa Bell. A second impression of 2000 further copies was issued later in 1922 and later impressions were issued as part of the Uniform Edition (Woolmer 17). A wealth of literary criticism on this novel about the life of Jacob Flanders, as on most of Woolf's other works, exists. An early review in The Guardian wrote in a mostly favourable review that ""doubtless she is something of a cult, and in certain passages you might believe that she is making fun of devotees,"" a statement which indicates something about the fervent following that the Press had by 1922",Virginia Woolf,,,Novel,English,,1922
Karn,y,,,,,"A long fantastical narrative poem written in Cantos and Books. Karn is the hero, who at first is lost at sea and then goes on an adventure to try to find ""the love of mortal men."" He comes upon a peculiar community of religious fanatics (""Red kirtled in black groves the small-lipped priests /Turn to the moon""). When Karn comes upon the ""golden boys"" that the priests have conjured with their chanting, he smites them and upsets the priests. They head back to the village to find that the king is upset with Karn's gallavanting. After a bit of a chat, Karn manages to convince the King that together they can ""free /The people from the priestly lie"" and develop a society with no religion. Then, he meets the princess and she kisses him and falls in love. Karn kisses a slave. Turns out that the princess has a book of sorcery and is actually a shape-shifter, so Karn leaves the village in order to escape her and calls out for help from some elves. An elf turns up to help him and stays with him for nine days until he is ready to go back to the village. He returns to find a slave being beaten by the princess's army of ""Great women with bare bodies and their groins/Aproned in leather."" He decides once and for all that this is too much and that the princess is evil, so he leaves the village again. Book III suddenly switches into second-person, addressing the reader for the first three stanzas. War ensues between the King and his army and Karn. Eventually after the battle, the slave girl is reunieted wtih Karn and they are happy.",Ruth Manning-Sanders,,,Poetry,English,,1922
Beyond the Pleasure Principle,y,,,,,"The Press took over the International Psycho-Analytical Library, edited by Ernest Jones and James Strachey in 1924 from The International Psycho-analytical Press (Woolmer 183). The series had begun in 1921, and the Press acquired the remaining bound and unbound sheets of the first publications. Although there is no evidence (due to the lack of a material imprint) to suggest which of these early bound publications the Press purchased, Woolmer lists the whole series in his Appendix to the Checklist, though he only lists the Hogarth Press imprints (1924 onward) in the Checklist itself.",Sigmund Freud,,C. J. M. Hubback,Psychoanalysis,German,,1922
Group Psychology and the Analysis of the Ego,y,,,,,No. 6 in the Psychoanalytical Series. The series continued under the Hogarth Press imprint until 1986 when it was discontinued by the Institute of Psychoanalysis and replaced with a new series.,Sigmund Freud,Ernest Jones,James Strachey,Psychoanalysis,German,,1922
The Gentleman from San Francisco and other stories,y,,,,,"A collection of Short Fiction translated from the Russian. The title story was translated by D. H. Lawrence whose name was omitted by mistake and inserted with a correction slip. The stories are on a variety of subjects and are mostly narrated in the third person. Bunin's style (at least as it comes across in translation) is often lyrical and his sentences complex. His endings tend towards elegant imagery: 'The second evening, and the third evening, still they danced, amid a storm that swept over the ocean, booming like a funeral service, rolling up mountains of mourning darkness silvered with foam' (37) but there is always an undercurrent of darkness. In one particularly disturbing tale, 'Gentle Breathing,' in which a teenage girl is raped and then murdered by her rapist.",I. A. Bunin,,,Short Fiction,Russian,,1922
Stavrogin's Confession and The Plan of the Life of a Great Sinner,y,,,,,"A collection of literary remains translated from the Russian, the book contains a note from the Russian government about the discovery of Dostoevsky's papers after his death and the uncovering of the plans for a novel among them. Here the notes towards the novel are included alongside a previously unpublished story.",F. M. Dostoevsky,,,Novel,Russian,,1922
The Autobiography of Countess Sophia Tolstoi,y,y,,,,"Sophia Tolstoy originally wrote her book because it was solicited by a publisher in Russia, S. A. Vegenrov, in 1913. Vegenerov hoped that it might offer insight into the controversy around Tolstoy's last years in which his radically ascetic ideals interfered in serious ways with his family life and caused what subsequent biographers have described as one of the unhappiest marriages in literary history. However, the book was never published, and the text itself was discovered among Vegenrov's papers after his death in 1920. It was subsequently published in Nachala, a Russian review periodical, by Vasilii Spiridonov. The Hogarth Press published the text, again brought to them by Koteliansky, very shortly after the first public appearance of the work in Russia. The short autobiography is framed by a translation of Spiridonov's fairly extensive preface to the Nachala text, a translators' preface written by Leonard Woolf and Koteliansky and a number of notes explaining the contextual details around Sophia Tolstoy's own account of her life and marriage, which were new paratexts for English readers.",Sophia Tolstoy,,,Autobiography,Russian,,1922
The Dark,y,,,,,"A single Short Fiction translated from the Russian. The story is a suspenseful account of a man whose ""life [is] a game of terrible hazards"" and whose mission is to undertake a terrorist attack. The third person narrator follows him through a series of misfortunes and intricacies involved with his planned crime (5).",Leonid Andreev,,,Short Fiction,Russian,,1922
Pharos and Pharillon,,,,,,"This book of glimpses of Alexandria through history is divided into two sections. The ""Pharos"" section is named after the lighthouse that dominated the ancient city and contains ""antique events"" and Pharillon, the successor of Pharos, contains ""modern events.""",E. M. Forster,,,Short Fiction,English,,1923
The Feather Bed,,TheFeatherBed_001.tif,"William Nicholson, front cover of ""The Feather Bed"" ",Bruce Peel Library ,Desmond Banks,"Graves' first book of poems to be published by the Press, this collection consists mostly of religious and philosophical verse. Graves's early poetry has received some critical attention, including a monograph by Frank Kersnowski. More usually the poetry is addressed as a precursor to Graves's more well-known fictional and autobiographical writings.",Robert Graves,,,Poetry,English,,1923
Mutations of the Phoenix,,6357.jpg,"front cover of ""Mutations of the Phoenix""",E.J. Pratt Library,Penguin Random House Archive and Library,"This collection contains, among other poems, a dramatic monologue from the point of view of John Donne, a meditation on physics, and an epigraph from A. N. Whitehead, which is a discussion of the connection between rhythm and life. Read was the editor of the journal Arts and Letters, which published T. S. Eliot and other important modernist figures.",Herbert Read,,,Poetry,English,,1923
The Waste Land,,,,,,Eliot's famous modernist masterpiece.,T. S. Eliot,,,Poetry,English,,1923
Poems,,6320.jpg,"dust jacket of ""Poems""",E.J. Pratt Library,Penguin Random House Archive and Library,"A book of poems by the one time lover of John Maynard Keynes, this book was initially published by Macmillan in 1920 and the Woolfs purchased the remaining unsold sheets, added an eight page signature of illustrations by Duncan Grant, and bound the book for sale. See Woolmer entry 37 for a more detailed history of the variants.",G. H. Luce,,,Poetry,English,,1923
To a Proud Phantom,,ToAProudPhantom_001.tif,"front cover of ""To a Proud Phantom"" ",Bruce Peel Library ,Penguin Random House Archive and Library,,Ena Limebeer,,,Poetry,English,,1923
Letters,,6337.jpg,"front cover of ""Letters""",E.J. Pratt Library,Penguin Random House Archive and Library,"This is a posthumous collection of the letters of Stephen Reynolds who was a writer of novels and essays who lived and worked as a fisherman. His 1908 essay 'Autobiografction,' recently discussed by Max Saunders in his 2010 book, Self Impression, deals directly with the question of hybrid genres at the start of the century and his letters indicate a preoccupation with the relationship between the personal and the fictional. The dust jacket advertises the letters, which have been introduced and selected by Reynolds' friend, as documents that 'give a very vivid picture of his life in Devonshire, of his character, and of the strenuous work which he performed as an Inspector of Fisheries during the war.'",Stephen Reynolds,,,Letters,English,,1923
The Legend of Monte Della Sibilla or Le Paradis de la Reine Sibille,,,,,,"This book, since it was written by Clive Bell, hand-printed by Leonard and Virginia Woolf, and illustrated by Vanessa Bell and Duncan Grant represents an embodiment of Bloomsbury artistic collaboration. For this reason, it has been described as ""quintessential Bloomsbury"" and grouped alongside the Omega workshop publications of a similar era (Omega Lives 10). The poem itself is a comical retelling of the legend of the Sibyl, an enigmatic mythical fgure who appears in different guises in different literary and classical traditions, but who is usually associated with sorcery and prophecy. Bell's version jokes about the unstable and untrustworthy source material for the myth, extending the mock- challenge that ""It is portentiously ill writ; / Scholars must make the best of it.""",Clive Bell,,,Poetry,English,,1923
A Sampler of Castile,,,,,,"A series of short essays collected from a trip to Spain. Fry writes in the introduction that the book was not intended for his readers but was a personal document and written for himself in order that he might not forget the vivid sensations of his travels. The form of the artist's ""sampler"" is translated into literary terms as a fragmentary form of short collected essays. Fry's introduction indicates a keen awareness of his readership despite the fact that he claims the book wasn't written for the public, and his refections on his travels are often autobiographically self-refexive as he defnes himself in relation to the unfamiliar landscape in which he travels. This is a large format book with illustrations.",Roger Fry,,,Art and Art Criticism,English,,1923
Duncan Grant,,,,,,"Although Woolmer lists no such series in his appendix to his Checklist to the Hogarth Press, and although it appears that no further books exist in the series, Fry's Duncan Grant is described as a ""Living Painters"" book. Fry's study of Grant's art attempts to explain the value of his work. Ultimately, Fry decides that Grant's work is appealing because it is ""entirely natural and unaffected"" and because of its spontaneous and charming character. Fry suggests that Grant's oeuvre itself has a ""personality"" quite apart from that of the artist. The book is listed in the Complete Catalogue of 1939 under Duncan Grant's name, perhaps because the illustration plates are of Grant's own art.",Roger Fry,,,Art and Art Criticism,English,,1923
Essays in Applied Psychoanalysis,,6235.jpg,"book cover of ""Essays in Applied Psychoanalysis""",E.J. Pratt Library,Penguin Random House Archive and Library,Psycho-Analytic Library,Ernest Jones,,James Strachey,Psychoanalysis,German,,1923
Talks with Tolstoi,,,,,,"A selection from the author's diary, this collection was compiled by the Russian musician A. B. Goldenveizer who recorded his conversations with Tolstoy. They are published here in order to provide a biographical description of Tolstoy to complement Gorky's reminiscences.",A. B. Goldenveizer,,,Biography,Russian,,1923
Tolstoi's Love Letters with a study of the autobiographical elements in Tolstoi's works,y,,,,,"Dust Jacket: 'This book contains the letters which Tolstoi wrote in 1856 and 1857, when he was twenty-eight years old, to Valeria Arsenev to whom he was engaged, but whom he did not marry. M. Paul Biryukov did not include them in the first and second editions of his 'Biography' of Tolstoi at the request of Countess Sophie Tolstoi, but she gave him permission to do what he liked with them after her death. He published them recently in the third (Russian) edition and they are no for the first time translated into English. They are extremely interesting and characteristic. M. Biryukov has written for this volume a study of the autobiographical elements in Tolstoi's novels, stories, and plays. As the intimate friend and biographer of Tolstoi he is able to do so with authority.'",Paul Birykov|Leo Tolstoi,,,Letters,Russian,,1923
When it was June,,6313.jpg,"dust jacket of ""When it was June""",E.J. Pratt Library,Penguin Random House Archive and Library,"A collection of five stories by the author of ""Down the Old Road,"" the book contains five Short Fiction on various mainly domestic subjects. The title story focuses on a lonely fifty-seven year old widow who eventually asks a younger woman to marry him. Throughout the collection, there are images of gardens and musings on the passing of time.",Alice Lowther,,,Short Fiction,English,,1924
In Our Town,,6326.jpg,"front cover of ""In Our Town""",E.J. Pratt Library,Penguin Random House Archive and Library,"This is a collection of exquisitely happy stories with lots of exclamation points. It is Hobson's second book. Her first, The Revolt of Youth (1919), was reviewed in The New Age and described as a book that is ""so truthfully done that it raises in an acute form the question of the literary propriety of the realistic treatment of love."" (349)",Coralie Hobson,,,Short Fiction,English,,1924
The Artist and Psycho-Analysis,,6436.jpg,"Vanessa Bell, front cover of ""The Artist and Psycho-Analysis""",E.J. Pratt Library,Henrietta Garnett,"This book, one of the Hogarth Essays, explores the relationship between psycho- analysis and aesthetic appreciation. Fry suggests that further investigation ought to be done into the nature of ""pure artistic feeling,"" though he is hesitant to draw his own conclusions about this using a strictly psycho-analytic framework.",Roger Fry,,,Art and Art Criticism,English,,1924
Mock Beggar Hall,,MockBeggar_001.tif,"William Nicholson, front cover of ""Mock Beggar Hall"" ",Bruce Peel Library,Desmond Banks,"Graves's second book to be published by the Hogarth Press, ""Mock Beggar Hall' is a collection of philosophical poems that incorporating some Eastern philosophy and some psychoanalytical speculation. The cover is a woodcut illustration of a bat designed by William Nicholson. Some critical work has been done on the book, for instance see Pharand and Kersnowski.",Robert Graves,,,Poetry,English,,1924
Grace After Meat,,6350.jpg,"front cover of ""Grace After Meat""",E.J. Pratt Library,Penguin Random House Archive and Library,"Ransom's only book of poems published by the Press includes an introduction by Robert Graves about American regional poetry. Graves expresses a desire for a whole account of the country in poetry detailing all of its regions. Graves puts the reason for Ransom's failure as a writer in America down to his title 'Poems about God,' which seems inappropriately pious for the age.",John Crowe Ransom,,,Poetry,English,,1924
The Rector's Daughter,,6312.jpg,"dust jacket of ""The Rector's Daughter""",E.J. Pratt Library,Penguin Random House Archive and Library,"This novel, about a spinster whose only suitor eventually marries another woman, contains no indication of genre in the paratexts but does appear to be fiction in a rather traditional although highly emotional mode.",F. M. Mayor,,,Novel,English,,1924
Henry James at Work,,HenryJamesAtWork_001.tif,"Vanessa Bell, front cover of ""Henry James at Work"" ",Bruce Peel Library,Henrietta Garnett,"This pamphlet, written by Henry James's secretary and typist, describes his working methods and conditions from Bosanquet's point of view. The focus of the pamphlet is almost entirely on James's eccentric work habits, and in particular his practice of composing his work by speaking it aloud to be typed by his secretary. Bosanquet suggests that this common problem of writing a literary biography, that the subject spends most of his time sitting in a desk, is particularly exacerbated with James, since 'Many men and women whose prime business is the art of writing find rest and refreshment in other occupations. They marry or they keep dogs, they play golf or bridge, they study Sanskrit or collect postage stamps. Except for a period of ownership of a daschund, Henry James did none of these things.' (22)",Theodora Bosanquet,,,Biography,English,,1924
Homage to John Dryden Three Essays on the poetry of the Seventeenth Century,,,,,,"A ""Hogarth Essay"": the first of T. S. Eliot's literary critcal works to be published by the Press.",T. S. Eliot,,,Literary Criticism,English,,1924
Kenya,,,,,,"Described by Helen Southworth as ""their first [book] in the politics and society category"" (10), Kenya aims to introduce the general reader to African society and culture and to explain its governmental structure and politics.",Norman Leys,,,History,English,,1924
Seducers in Ecuador,,seducersecuador__002_front.jpg,"dust jacket of ""Seducers in Ecuador""",Bruce Peel Library,Penguin Random House Archive and Library,"A very funny novella about Arthur Lomax, an upper-class Englishman on a leisure trip to Egypt. While on vacation, he dons a pair of blue spectacles that entirely change his worldview.",Vita Sackville-West,,,Novel,English,,1924
Mr. Bennett and Mrs. Brown,,6468.jpg,"Vanessa Bell, dust jacket of ""Mr. Bennett and Mrs. Brown""",E.J. Pratt Library,Henrietta Garnett,Hogarth Essays (First Series),Virginia Woolf,,,Literary Criticism,English,,1924
Jeanne de Henaut,,JeanneDeHenaut_001.tif,"front cover of ""Jeanne de Henaut"" ",Bruce Peel Library,Penguin Random House Archive and Library,"A short, comical biographical sketch of a matronly and somewhat pathetic tutor of students working toward their examinations in diplomatic service, this book was later included as part of Nicolson's important collection of autobiographical fantasies, Some People. Correspondence in the Hogarth Press Business Archives suggests that Nicolson wanted to publish the book privately in a small run since he felt that it was too personal for public circulation. This was a view that clearly changed since he included it in Some People three years later. It was Nicolson's playful experimentation with the fluidity of fact and fiction that occasioned Woolf's essay, ""The Art of Biography,"" which was a review of Some People.",Harold Nicolson,,,Biography,English,,1924
Some Early Impressions,,earlyimpressions_002_front.jpg,"dust jacket of ""Some Early Impressions""",Bruce Peel Library,Penguin Random House Archive and Library,"From the Dust Jacket: ""These memoirs by the late Sir Leslie Stephen, who was the author of Hours in a Library, English Thought in the Eighteenth Century, and first editor of the Dictionary of National Biography, are of the greatest interest to book lovers, dealing as they do with some of the most famous literary figures of the nineteenth century. Sir Leslie, as Mr. Gosse writes in a two-column review about this book in the Sunday Times, 'had come into contact with a larger number of persons than any contemporary author. His personal influence was universal, and his sympathy extended on all sides of him.' The present volume, which contains the only reminiscences that Sir Leslie wrote for publication, is an essential addition to the libraries of those who are interested in Sir Leslie himself, or in the life and letters of the nineteenth century.""",Leslie Stephen,,,Autobiography,English,,1924
Collected Papers,,,,,,4 vols.,Sigmund Freud,Joan Riviere,,Psychoanalysis,German,,1924
The Life of the Archpriest Avvakum by Himself,,TheLifeOfTheArchpriestAvvakum_001.tif,"front cover of ""The Life of the Archpriest Avvakum by Himself"" ",Bruce Peel Library ,Penguin Random House Archive and Library,"A seventeenth-century Russian autobiography written in part for propaganda purposes. The preface contains the following advice for reading: 'A word of advice to the reader. Avvakum has this in common with Marcel Proust: that the most difficult thing with him is to get over the first few pages. In this pages he exposes his reasons, based on quotations from Dionysius Areopagita ['] why he thinks the treble Alleluia an abomination. Those readers who are not interested in these reasons may skip the first ten pages and begin straight away with 'I was born' and so forth.' (30)",Avvakum,,,Autobiography,Russian,,1924
Empire and Commerce in Africa,,,,,,"A highly researched and methodical work describing Italy's imperial presence in Africa, Woolf's book presents a clear and even-keeled demonstration of the facts leading up to Italy's political position in 1925. As a result of the extensive research, the book is an even more convincing indictment of the imperial power than a polemic would have been.",Leonard Woolf,,,Politics,English,,1925
The Economic Consequences of Mr. Churchill,,TheEconomicConsequencesOfMrChurchill_001.tif,"front cover of ""The Economic Consequences of Mr. Churchill"" ",Bruce Peel Library,Penguin Random House Archive and Library,"This pamphlet represents Keynes's response to Churchill's disastrous decision to return to the Gold Standard in 1924. Keynes argues that this decision will cause a depression, and his predictions proved to be mostly true.",John Maynard Keynes,,,Politics,English,,1925
Fear and Politics A Debate at the Zoo,,FearAndPolitics_001.tif,"Vanessa Bell, front cover of ""Fear and Politics"" ",Bruce Peel Library,Henrietta Garnett,"In this tongue-in-cheek but nevertheless highly critical political Hogarth Essay, Leonard Woolf uses animals at the London Zoo as allegorical figures representing the English middle classes. He suggests that it is not so strange to imagine the animals as people: 'so civilized the animals become that, after the Gardens have closed for the night, many of them contrive to meet together in a kind of debating society, the object of which is mutual instruction and improvement.' Woolf depicts the dialogue that follows among the animals about the nature of political society in England until eventually ""the Elephant then declared the meeting closed amid applause."" (24)",Leonard Woolf,,,Politics,English,,1925
The Other Side of the Medal,,othersidemedal_002_front.jpg,"dust jacket of ""The Other Side of the Medal""",Bruce Peel Library,Penguin Random House Archive and Library,"An example of a ""mutiny memoir"" of which there are apparently a great many in Indian literature of the 1920s. Designed to critique imperial rule of India, the book was suppressed at other publishers because it was likely to cause offence: ""'This book has been long suppressed. To friends who urged that its publication would stir up bitter feelings, I point out that the deeds of which it speaks were done, and men's minds securely hold the smouldering memory. Other friends, among them some of the names most honoured in contemporary literature, have urged that the risk be taken. 'Truth has an eternal title to our confession, though we are sure to be sufferers by it.' The book sets out matters that no Indian could, or perhaps should, set out, and I believe that it will change the attitude of every Englishman who reads it to the end. If that belief is justified, then I have no choice but to trust to the magnanimity of my own people, and to the magnanimity of that other people, in friendship with whom I have found so much happiness.' (5)",Edward Thompson,,,Autobiography,English,,1925
The Marmosite's Miscellany,,TheMarmositesMiscellany_001.tif,"front cover of ""The Marmosite's Miscellany"" ",Bruce Peel Library,Penguin Random House Archive and Library,"John Doyle is a pseudonym for Robert Graves. This book is a silly rhyming poem from the point of view of an academic's pet monkey who displays his prodigious reading in a satirical and quick-witted manner: ""I was a scholar's monkey. I read his books through. / My reading reminds me how sadly they need / These constant adventures after something new.""",Robert Graves,,,Poetry,English,,1925
Poems and Fables,,PoemsAndFables_001.tif,"front cover of ""Poems and Fables"" ",Bruce Peel Library,Penguin Random House Archive and Library,"A book hand-printed by the Woolfs in a small run of just over 120 copies, the collection was shortened by their request since the original manuscript proved too taxing to print on their own (VW Letters 1925).",R. C. Trevelyan,,,Poetry,English,,1925
In Retreat,,InRetreat_001.tif,"Vanessa Bell, front cover of ""In Retreat"" ",Bruce Peel Library,Henrietta Garnett,"Read's autobiographical account of life on the Western Front, In Retreat is a viscerally violent and tactile portrait of the experience of living in the trenches. The book has been read alongside other first-hand accounts of WWI including Wilfred Owen's and Siegfried Sassoon's",Herbert Read,,,Poetry,English,,1925
Songs of Salvation Sin & Satire,,SongsOfSalvationSinAndSatire_001.tif,"front cover of ""Songs of Salvation Sin & Satire"" ",Bruce Peel Library,Penguin Random House Archive and Library,"The first of Palmer's collections of poetry to be published by the Press, Virginia Woolf wrote to Vita Sackville-West that she expected it would provide readers with a great deal of enjoyment. Its alliterative title combines religion and satire in a congenial way for the times.",Herbert Edward Palmer,,,Poetry,English,,1925
Poems,,6303.jpg,"front cover of ""Poems""",E.J. Pratt Library,Penguin Random House Archive and Library,"A heftier collection than most of the Press's poetry books by poet and mathematician, Barrington Gates, who is best known for his poems about airplanes, which were also the subject of his scientific and historical interest. He was also a reviewer for the TLS and a member of the Royal Society. A biography by H. B. M. Thomas survives in a collected volume of Biographical Memoirs of Royal Society members, which was published in 1974.",Barrington Gates,,,Poetry,English,,1925
Adriatica and Other Poems,,,,,,"This is a posthumous collection of poems, with a biographical preface by the literary critic F. L. Lucas. Bekassy was a Hungarian soldier who was killed in the army in 1915. The book functions as a kind of literary remains, and Lucas, clearly in attempt to position Bekassy as a modernist poet, describes him as someone who ""lived in the moment, intensely; but he was bigger than the moment and saw at once beyond it, how it fitted into the exciting pattern of life, and what part of the past it would hereafter become"" (vi).",Ferenc Bekassy,,,Poetry,English,,1925
First Poems,,6322.jpg,"front cover of ""First Poems""",E.J. Pratt Library,Penguin Random House Archive and Library,"Muir's second volume of poetry, Chorus of the Newly Dead is part verse, part dramatic dialogue.",Edwin Muir,,,Poetry,English,,1925
